Redis(oneGif),MySQL(10Gifs), Mysql(oneGif),Redis(10Gifs),MySQL-wc(oneGif),MySQL-wc(10Gifs)
19.661,12.859768,7.311384,22.357846,37.543723,52.255077
17.366867,12.772416,6.136902,15.80062,35.964659,51.558837
18.029288,14.31563,7.478401,18.307197,37.088059,53.147713
18.11368,13.030421,6.112999,17.241729,36.238845,52.173514
17.65807,14.338652,5.774605,16.110448,35.273672,52.284906
18.099556,13.931955,5.912865,18.27784,36.837684,52.2478
18.001254,13.392533,6.083699,17.3056,36.121267,53.683573
17.927867,13.268607,6.210744,18.169454,35.906164,52.447788
18.345928,12.41966,5.804001,15.800725,36.675781,51.699372
18.528229,14.012907,6.096189,17.126926,37.553876,52.53878